sample	name
SS200001472BR_A5	Streptomyces
D02165D4	Prevotella
D02165D4	Fusobacterium
D02165D4	Streptococcus
D02173E6	Helicobacter
D02165D2	Treponema
D02165D4	Gemella
D02165D2	Prevotella
D02165C6	Stenotrophomonas
D02172E3	Leptotrichia
D02165D2	Selenomonas
SS200000553BL_A2	Vibrio
A01892B6	Pseudomonas
D02165D2	Fusobacterium
D02165E6	Staphylococcus
D02173F5	Prevotella
FP200000611TR_F1	Streptomyces
D02165D5	Stenotrophomonas
D02165D2	Bifidobacterium
D02165D4	Schaalia
FP200000611TR_F1	Naegleria
SS200001472BR_A5	Stenotrophomonas
D02165D2	Leptotrichia
C01838C2	Stenotrophomonas
FP200000611TR_F1	Stenotrophomonas
FP200000586TR_A1	Pseudomonas
D02165C6	Pseudomonas
FP200000586TR_A1	Acinetobacter
SS200000553BL_B1	Vibrio
FP200000611TR_F1	Vibrio
A01894F5	Sphingomonas
FP200000586TR_A1	Streptomyces
C01838C2	Vibrio
D02172E3	Prevotella
D02165D5	Vibrio
FP200000586TR_A1	Vibrio
FP200000421BR_D4	Naegleria
D02165D4	Selenomonas
FP200000586TR_A1	Stenotrophomonas
D02165D5	Streptomyces
D00864B2	Streptomyces
D02165E6	Stenotrophomonas
D02172E3	Stenotrophomonas
FP200000421BR_E4	Streptomyces
SS200000553BL_A2	Stenotrophomonas
FP200000421BR_E4	Naegleria
A01894F5	Stenotrophomonas
D02165D6	Stenotrophomonas
D02165D4	Stenotrophomonas
SS200000115BR_F4	Naegleria
SS200000553BL_B6	Vibrio
FP200000421BR_D4	Streptomyces
SS200001472BR_B4	Streptomyces
C01838C2	Staphylococcus
D02165D6	Helicobacter
C01838C2	Pseudomonas
SS200000553BL_A2	Pseudomonas
SS200001472BR_B5	Streptomyces
SS200000553BL_B1	Stenotrophomonas
FP200000586TR_A1	Naegleria
A01892B6	Cutibacterium
SS200000553BL_A2	Acinetobacter
A01894F5	Vibrio
D02165D5	Micromonospora
D02165D3	Stenotrophomonas
FP200000611TR_F1	Pseudomonas
FP200000611TR_E1	Naegleria
C01838C4	Staphylococcus
SS200000114BR_C1	Naegleria
D02173F6	Stenotrophomonas
A01890D2	Naegleria
D02173F5	Serratia
D02173E6	Stenotrophomonas
D01574E3	Stenotrophomonas
D02165D4	Veillonella
D02165D5	Streptococcus
D02172E6	Stenotrophomonas
A01890D2	Stenotrophomonas
SS200000115BR_E2	Streptomyces
A01890D1	Naegleria
SS200000114BR_C1	Streptomyces
FP200000611TR_E1	Streptomyces
D02165E2	Stenotrophomonas
D02165E3	Helicobacter
SS200000553BL_B1	Naegleria
D02165E6	Streptomyces
SS200000553BL_B1	Streptomyces
D02165C6	Streptomyces
SS200000553BL_B6	Stenotrophomonas
D00864B2	Stenotrophomonas
D02165E6	Vibrio
D02069C2	Stenotrophomonas
D02165C6	Fusobacterium
D02165D2	Dialister
D02165C6	Naegleria
C01838C4	Vibrio
C01838C2	Streptomyces
A01890D1	Pseudomonas
D02173E3	Prevotella
A02184A1	Stenotrophomonas
D02069C2	Vibrio
SS200000553BL_A2	Streptomyces
A01890D1	Stenotrophomonas
D02173E6	Vibrio
D02165D2	Mogibacterium
A01892B6	Stenotrophomonas
D02165C6	Vibrio
B02210F4	Stenotrophomonas
D02173E3	Stenotrophomonas
D02173F5	Streptococcus
C01838C4	Stenotrophomonas
D02165D5	Pseudomonas
D02173F5	Gemella
D02165D4	Streptomyces
A01890D2	Pseudomonas
SS200000553BL_B1	Pseudomonas
D02165E6	Naegleria
D02165D4	Vibrio
D02173F6	Vibrio
D02165D6	Streptococcus
D02165E2	Staphylococcus
C01838C2	Acinetobacter
D02172E3	Fusobacterium
A01892B6	Burkholderia
D02165D3	Vibrio
D02165D4	Micromonospora
D02165D2	Stenotrophomonas
D01574E3	Vibrio
D02165C6	Micromonospora
D02165D5	Naegleria
SS200000553BL_C1	Streptomyces
FP200000611TR_F1	Amycolatopsis
FP200000611TR_F1	Acinetobacter
D02165D6	Vibrio
A01894D6	Stenotrophomonas
A01894F5	Staphylococcus
FP200000586TR_A1	Nocardia
D02173E6	Naegleria
SS200000115BR_E2	Nocardia
SS200000553BL_B6	Streptomyces
SS200001472BR_B4	Stenotrophomonas
D02165D4	Naegleria
SS200000115BR_D4	Streptomyces
D02173E6	Streptomyces
D02165D3	Streptomyces
D02165D6	Naegleria
D02165D1	Stenotrophomonas
A01894F4	Stenotrophomonas
D02165D6	Streptomyces
D02165D4	Lactobacillus
D02165E2	Streptomyces
D02165D5	Prevotella
A01894F5	Flavobacterium
SS200000114BR_A4	Streptomyces
D02165D3	Micromonospora
D02173E3	Streptococcus
D02172E6	Vibrio
D02165C6	Prevotella
SS200000553BL_B1	Acinetobacter
D02165D2	Streptomyces
FP200000611TR_E1	Nocardia
A01894F5	Methylobacterium
D02069C1	Stenotrophomonas
D02165D2	Naegleria
D02173E4	Stenotrophomonas
D02173F5	Stenotrophomonas
A01894F5	Streptomyces
FP200000611TR_F1	Micromonospora
D02165D4	Pseudomonas
FP200000421BR_D4	Stenotrophomonas
SS200000158BL_E6	Vibrio
FP200000421BR_E4	Stenotrophomonas
D02165E2	Vibrio
D02069C2	Streptomyces
FP200000611TR_E1	Stenotrophomonas
D02172E3	Streptococcus
SS200000114BR_C1	Stenotrophomonas
D02173F6	Streptomyces
FP200000421BR_E4	Nocardia
FP200000421BR_E3	Vibrio
FP200000586TR_A1	Chryseobacterium
D02165D1	Naegleria
B02210F4	Naegleria
SS200000553BL_B6	Pseudomonas
D02165E2	Naegleria
SS200000114BR_C1	Vibrio
D02165D4	Enterococcus
SS200000553BL_B6	Naegleria
D01574E3	Streptomyces
D02165D1	Vibrio
FP200000421BR_E3	Stenotrophomonas
D02172E3	Vibrio
SS200000726BL_E3	Stenotrophomonas
A01890D2	Vibrio
SS200000114BR_A2	Streptomyces
FP200000586TR_A1	Staphylococcus
D02165D4	Glutamicibacter
SS200000553BL_A2	Naegleria
SS200000115BR_E2	Naegleria
SS200000115BR_F4	Streptomyces
FP200000421BR_D4	Nocardia
D02165D4	Dialister
SS200000158BL_E6	Stenotrophomonas
D02173F6	Naegleria
