sample	name
A01890D1	Stenotrophomonas maltophilia
A01890D1	Pseudomonas sp. CIP-10
A01890D1	Vibrio parahaemolyticus
A01890D1	Micromonospora coxensis
A01890D1	Alkalihalobacillus krulwichiae
A01890D1	Mycobacterium saskatchewanense
A01890D1	Lactobacillus ultunensis
A01890D1	Amycolatopsis sp. DSM 110486
A01890D1	Jatrophihabitans sp. GAS493
A01890D1	Mycobacterium sp. IDR2000157661
A01890D2	Stenotrophomonas maltophilia
A01890D2	Pseudomonas sp. CIP-10
A01890D2	Vibrio parahaemolyticus
A01890D2	Micromonospora coxensis
A01890D2	Alkalihalobacillus krulwichiae
A01890D2	Lactobacillus ultunensis
A01890D2	Mycobacterium saskatchewanense
A01890D2	Actinomyces sp. 432
A01890D2	Ktedonosporobacter rubrisoli
A01890D2	Jatrophihabitans sp. GAS493
A01890D2	Pusillimonas sp. T7-7
A01890D2	Mycobacterium sp. IDR2000157661
A01890D2	Alicyclobacillus acidoterrestris
A01892B6	Pseudomonas sp. CIP-10
A01892B6	Stenotrophomonas maltophilia
A01892B6	Vibrio parahaemolyticus
A01892B6	Mycobacterium saskatchewanense
A01892B6	Micromonospora coxensis
A01892B6	Shewanella baltica
A01892C2	Pseudomonas sp. CIP-10
A01892C2	Stenotrophomonas maltophilia
A01892C2	Vibrio parahaemolyticus
A01892C2	Mycobacterium saskatchewanense
A01892C2	Micromonospora coxensis
A01892C2	Alkalihalobacillus krulwichiae
A01892C2	Mycobacterium sp. IDR2000157661
A01892C2	Ktedonosporobacter rubrisoli
A01892C2	Helicobacter suis
A01892C2	Microbacterium sp. LKL04
A01894D6	Stenotrophomonas maltophilia
A01894D6	Vibrio parahaemolyticus
A01894D6	Micromonospora coxensis
A01894D6	Alkalihalobacillus krulwichiae
A01894E6	Stenotrophomonas maltophilia
A01894E6	Vibrio parahaemolyticus
A01894E6	Helicobacter suis
A01894E6	Micromonospora coxensis
A01894F4	Stenotrophomonas maltophilia
A01894F4	Vibrio parahaemolyticus
A01894F4	Lactobacillus ultunensis
A01894F4	Micromonospora coxensis
A01894F4	Alkalihalobacillus krulwichiae
A01894F4	Mycobacterium sp. IDR2000157661
A01894F5	Stenotrophomonas maltophilia
A01894F5	Vibrio parahaemolyticus
A01894F5	Methylobacterium sp. 4-46
A01894F5	Micromonospora coxensis
A01894F5	Streptomyces venezuelae
A01894F5	Streptomyces nojiriensis
A01894F5	Stenotrophomonas acidaminiphila
A01894F5	Halopseudomonas litoralis
A01894F5	Brevundimonas nasdae
A01894F5	Thermobifida halotolerans
A02184A1	Stenotrophomonas maltophilia
A02184A1	Vibrio parahaemolyticus
A02184A1	Mycobacterium saskatchewanense
A02184A1	Mycolicibacterium monacense
A02184A1	Alkalihalobacillus krulwichiae
A02184A2	Stenotrophomonas maltophilia
A02184A2	Vibrio parahaemolyticus
A02184A2	Saccharothrix syringae
A02184A2	Alkalihalobacillus krulwichiae
B02210F4	Stenotrophomonas maltophilia
B02210F4	Vibrio parahaemolyticus
B02210F4	Burkholderia gladioli
B02210F4	Micromonospora coxensis
B02210F4	Alkalihalobacillus krulwichiae
B02210F4	Lactobacillus johnsonii
B02210F4	Ktedonosporobacter rubrisoli
B02210F4	Caulobacter segnis
B02210F4	Cellulophaga lytica
B02210F4	Mycobacterium sp. IDR2000157661
B02210F4	Celeribacter baekdonensis
B02210F4	Streptomyces sp. BHT-5-2
B02210F4	Polymorphobacter sp. PAMC 29334
B02210F4	Rhizobium sp. WYJ-E13
C01838C2	Stenotrophomonas maltophilia
C01838C2	Vibrio parahaemolyticus
C01838C2	Pseudomonas sp. CIP-10
C01838C2	Helicobacter suis
C01838C2	Micromonospora coxensis
C01838C2	Megasphaera elsdenii
C01838C2	Pantoea agglomerans
C01838C2	Mycobacterium saskatchewanense
C01838C2	Mycobacterium sp. IDR2000157661
C01838C2	Rhizobium leguminosarum
C01838C2	Alkalihalobacillus krulwichiae
C01838C4	Vibrio parahaemolyticus
C01838C4	Stenotrophomonas maltophilia
C01838C4	Helicobacter suis
C01838C4	Micromonospora coxensis
C01838C4	Lactobacillus johnsonii
C01838C4	Streptomyces sp. DSM 40868
C01838C4	Solibacillus sp. R5-41
C01838C4	Mycobacterium saskatchewanense
C01838C4	Alkalihalobacillus krulwichiae
C01838C4	Mycobacterium sp. IDR2000157661
C01838C4	Caulobacter segnis
D00864B2	Stenotrophomonas maltophilia
D00864B2	Vibrio parahaemolyticus
D00864B2	Micromonospora coxensis
D00864B2	Mycobacterium saskatchewanense
D00864B2	Alkalihalobacillus krulwichiae
D00864B2	Achromobacter spanius
D00864B2	Methylocella tundrae
D00864B2	Actinomyces sp. 432
D00864B2	Mycobacterium sp. IDR2000157661
D00864B2	Mycobacterium gordonae
D00864B4	Stenotrophomonas maltophilia
D00864B4	Vibrio parahaemolyticus
D00864B4	Micromonospora coxensis
D00864B4	Alkalihalobacillus krulwichiae
D00864C5	Stenotrophomonas maltophilia
D00864C5	Vibrio parahaemolyticus
D00864C5	Micromonospora coxensis
D00864C5	Alkalihalobacillus krulwichiae
D00864C5	Methylobacterium currus
D01574E3	Stenotrophomonas maltophilia
D01574E3	Vibrio parahaemolyticus
D01574E3	Micromonospora coxensis
D01574E3	Alkalihalobacillus krulwichiae
D01574E3	Helicobacter suis
D01574E3	Mycobacterium saskatchewanense
D01574E3	Actinomyces sp. 432
